SERIAL NO,AIRLINE ,AIRLINE IATA CODE,FLIGHT NO,FLIGHT TYPE,ROUTE,DEPARTURE COUNTRY,DEPARTURE CITY,DEPARTURE AIRPORT,DEPARTURE IATA CODE,ARRIVAL COUNTRY,ARRIVAL CITY,ARRIVAL AIRPORT,ARRIVAL IATA CODE,FLIGHT DURATION,
103,SOUTH AIR,SQB,SQB-972,DOMESTIC,ISB-RYK,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,RAHIM YAR KHAN,SHAIKH ZAYED INTERNATIONAL AIRPORT,RYK,2 HOURS 15 MINUTES,
104,SOUTH AIR,SQB,SQB-940,DOMESTIC,RYK-ISB,PAKISTAN,RAHIM YAR KHAN,SHAIKH ZAYED INTERNATIONAL AIRPORT,RYK,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,2 HOURS,
105,SOUTH AIR,SQB,SQB-910,DOMESTIC,UET-GWD,PAKISTAN,QUETTA,Quetta International Airport ,UET,PAKISTAN,GWADAR,GWADAR INTERNATIONAL AIRPORT ,GWD,2 HOURS,
106,SOUTH AIR,SQB,SQB-909,DOMESTIC,GWD-UET,PAKISTAN,GWADAR,GWADAR INTERNATIONAL AIRPORT ,GWD,PAKISTAN,QUETTA,Quetta International Airport ,UET,2 HOURS,
107,SOUTH AIR,SQB,SQB-926,DOMESTIC,PEW-UET,PAKISTAN,PESHAWAR,BACHA KHAN INTERNATIONAL AIRPORT,PEW,PAKISTAN,QUETTA,Quetta International Airport ,UET,1 HOURS 40 MINUTES,
108,EMIRATES,EK,EK-613,INTERNATIONAL,ISB-DXB,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 10 MINUTES,
109,EMIRATES,EK,EK-615,INTERNATIONAL,ISB-DXB,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 10 MINUTES,
110,EMIRATES,EK,EK-612,INTERNATIONAL,DXB-ISB,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,3 HOURS 10 MINUTES,
111,EMIRATES,EK,EK-614,INTERNATIONAL,DXB-ISB,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,3 HOURS 10 MINUTES,
112,EMIRATES,EK,EK-601,INTERNATIONAL,KHI-DXB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,2 HOURS 20 MINUTES,
113,EMIRATES,EK,EK-603,INTERNATIONAL,KHI-DXB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,2 HOURS 20 MINUTES,
114,EMIRATES,EK,EK-600,INTERNATIONAL,DXB-KHI,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOURS 55 MINUTES,
115,EMIRATES,EK,EK-602,INTERNATIONAL,DXB-KHI,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOURS 55 MINUTES,
116,EMIRATES,EK,EK-625,INTERNATIONAL,LHE-DXB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 30 MINUTES,
117,EMIRATES,EK,EK-623,INTERNATIONAL,LHE-DXB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 30 MINUTES,
118,EMIRATES,EK,EK-622,INTERNATIONAL,DXB-LHE,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,2 HOURS 50 MINUTES,
119,EMIRATES,EK,EK-624,INTERNATIONAL,DXB-LHE,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,2 HOURS 50 MINUTES,
120,EMIRATES,EK,EK-637,INTERNATIONAL,PEW-DXB,PAKISTAN,PESHAWAR,BACHA KHAN INTERNATIONAL AIRPORT,PEW,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 30 MINUTES,
121,EMIRATES,EK,EK-636,INTERNATIONAL,DXB-PEW,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,PESHAWAR,BACHA KHAN INTERNATIONAL AIRPORT,PEW,3 HOURS 10 MINUTES,
122,EMIRATES,EK,EK-619,INTERNATIONAL,SKT-DXB,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 35 MINUTES,
123,EMIRATES,EK,EK-618,INTERNATIONAL,DXB-SKT,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,3 HOURS 35 MINUTES,
124,FLYDUBAI,FZ,FZ-376,INTERNATIONAL,PEW-DXB,PAKISTAN,PESHAWAR,BACHA KHAN INTERNATIONAL AIRPORT,PEW,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 15 MINUTES,
125,FLYDUBAI,FZ,FZ-375,INTERNATIONAL,DXB-PEW,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,PESHAWAR,BACHA KHAN INTERNATIONAL AIRPORT,PEW,3 HOURS 10 MINUTES,
126,FLYDUBAI,FZ,FZ-354,INTERNATIONAL,ISB-DXB,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 40 MINUTES,
127,FLYDUBAI,FZ,FZ-353,INTERNATIONAL,DXB-ISB,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,3 HOURS 10 MINUTES,
128,FLYDUBAI,FZ,FZ-316,INTERNATIONAL,SKT-DXB,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 55 MINUTES,
129,FLYDUBAI,FZ,FZ-338,INTERNATIONAL,SKT-DXB,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 55 MINUTES,
130,FLYDUBAI,FZ,FZ-315,INTERNATIONAL,DXB-SKT,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,3 HOURS 5 MINUTES,
131,FLYDUBAI,FZ,FZ-337,INTERNATIONAL,DXB-SKT,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,3 HOURS 5 MINUTES,
132,FLYDUBAI,FZ,FZ-356,INTERNATIONAL,LYP-DXB,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 35 MINUTES,
133,FLYDUBAI,FZ,FZ-392,INTERNATIONAL,LYP-DXB,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 35 MINUTES,
134,FLYDUBAI,FZ,FZ-391,INTERNATIONAL,DXB-LYP,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP,2 HOURS 50 MINUTES,
135,FLYDUBAI,FZ,FZ-355,INTERNATIONAL,DXB-LYP,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP,2 HOURS 50 MINUTES,
136,FLYDUBAI,FZ,FZ-326,INTERNATIONAL,MUX-DXB,PAKISTAN,MULTAN,Multan International Airport,MUX,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 20 MINUTES,
137,FLYDUBAI,FZ,FZ-340,INTERNATIONAL,MUX-DXB,PAKISTAN,MULTAN,Multan International Airport,MUX,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 20 MINUTES,
138,FLYDUBAI,FZ,FZ-318,INTERNATIONAL,MUX-DXB,PAKISTAN,MULTAN,Multan International Airport,MUX,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 20 MINUTES,
139,FLYDUBAI,FZ,FZ-317,INTERNATIONAL,DXB-MUX,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,MULTAN,Multan International Airport,MUX,2 HOURS 35 MINUTES,
140,FLYDUBAI,FZ,FZ-339,INTERNATIONAL,DXB-MUX,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,MULTAN,Multan International Airport,MUX,2 HOURS 35 MINUTES,
141,FLYDUBAI,FZ,FZ-325,INTERNATIONAL,DXB-MUX,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,MULTAN,Multan International Airport,MUX,2 HOURS 35 MINUTES,
142,FLYDUBAI,FZ,FZ-346,INTERNATIONAL,UET-DXB,PAKISTAN,QUETTA,Quetta International Airport ,UET,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,2 HOURS 45 MINUTES,
143,FLYDUBAI,FZ,FZ-345,INTERNATIONAL,DXB-UET,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,QUETTA,Quetta International Airport ,UET,2 HOURS 10 MINUTES,
144,FLYDUBAI,FZ,FZ-332,INTERNATIONAL,KHI-DXB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,2 HOURS 25 MINUTES,
145,FLYDUBAI,FZ,FZ-334,INTERNATIONAL,KHI-DXB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,2 HOURS 25 MINUTES,
146,FLYDUBAI,FZ,FZ-336,INTERNATIONAL,KHI-DXB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,2 HOURS 25 MINUTES,
147,FLYDUBAI,FZ,FZ-330,INTERNATIONAL,KHI-DXB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,2 HOURS 25 MINUTES,
148,FLYDUBAI,FZ,FZ-331,INTERNATIONAL,DXB-KHI,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS,
149,FLYDUBAI,FZ,FZ-335,INTERNATIONAL,DXB-KHI,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS,
150,FLYDUBAI,FZ,FZ-333,INTERNATIONAL,DXB-KHI,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS,
151,FLYDUBAI,FZ,FZ-329,INTERNATIONAL,DXB-KHI,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS,
152,FLYDUBAI,FZ,FZ-360,INTERNATIONAL,LHE-DXB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 35 MINUTES,
153,FLYDUBAI,FZ,FZ-359,INTERNATIONAL,DXB-LHE,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,3 HOURS 15 MINUTES,
154,AIR ARABIA,G9,G95555,INTERNATIONAL,PEW-SHJ,PAKISTAN,PESHAWAR,BACHA KHAN INTERNATIONAL AIRPORT,PEW,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,3 HOURS,
155,AIR ARABIA,G9,G9556,INTERNATIONAL,SHJ-PEW,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,PESHAWAR,BACHA KHAN INTERNATIONAL AIRPORT,PEW,2 HOURS 55 MINUTES,
156,AIR ARABIA,G9,G9869,INTERNATIONAL,ISB-RKT,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,UNITED ARAB EMIRATES,Ras Al Khaimah,Ras Al Khaimah International Airport,RKT,3 HOURS 5 MINUTES,
157,AIR ARABIA,G9,G9868,INTERNATIONAL,RKT-ISB,UNITED ARAB EMIRATES,RAS AL KHAIMAH,Ras AL KHAIMAH INTERNATIONAL AIRPORT,RKT,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,2 HOURS 50 MINUTES,
158,AIR ARABIA,G9,G9549,INTERNATIONAL,KHI-SHJ,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,1 HOURS 55 MINUTES,
159,AIR ARABIA,G9,G9543,INTERNATIONAL,KHI-SHJ,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,1 HOURS 55 MINUTES,
160,AIR ARABIA,G9,G9547,INTERNATIONAL,KHI-SHJ,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,1 HOURS 55 MINUTES,
161,AIR ARABIA,G9,G9542,INTERNATIONAL,SHJ-KHI,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS 5 MINUTES,
162,AIR ARABIA,G9,G9546,INTERNATIONAL,SHJ-KHI,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS 5 MINUTES,
163,AIR ARABIA,G9,G9548,INTERNATIONAL,SHJ-KHI,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS 5 MINUTES,
164,AIR ARABIA,G9,G9553,INTERNATIONAL,SKT-SHJ,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,3 HOURS 15 MINUTES,
165,AIR ARABIA,G9,G9553,INTERNATIONAL,SHJ-SKT,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,3 HOURS 5 MINUTES,
166,AIR ARABIA,G9,G9559,INTERNATIONAL,MUX-SHJ,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,3 HOURS,
167,AIR ARABIA,G9,G9558,INTERNATIONAL,SHJ-MUX,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,2 HOURS 40 MINUTES,
168,AIR ARABIA,G9,G9568,INTERNATIONAL,UET-SHJ,PAKISTAN,QUETTA,Quetta International Airport ,UET,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,2 HOURS 20 MINUTES,
169,AIR ARABIA,G9,G9567,INTERNATIONAL,SHJ-UET,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,QUETTA,Quetta International Airport ,UET,2 HOURS 10 MINUTES,
170,AIR ARABIA,G9,G9865,INTERNATIONAL,PEW-RKT,PAKISTAN,PESHAWAR,BACHA KHAN INTERNATIONAL AIRPORT,PEW,UNITED ARAB EMIRATES,Ras Al Khaimah,Ras Al Khaimah International Airport,RKT,2 HOURS 55 MINUTES,
171,AIR ARABIA,G9,G9864,INTERNATIONAL,RKT-PEW,UNITED ARAB EMIRATES,RAS AL KHAIMAH, Ras Al Khaimah International Airport,RKT,PAKISTAN,PESHAWAR,BACHA KHAN INTERNATIONAL AIRPORT,PEW,2 HOURS 50 MINUTES,
172,AIR ARABIA,G9,G9869,INTERNATIONAL,ISB-RKT,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,UNITED ARAB EMIRATES,Ras Al Khaimah,Ras Al Khaimah International Airport,RKT,3 HOURS 5 MINUTES,
173,AIR ARABIA,G9,G9868,INTERNATIONAL,RKT-ISB,UNITED ARAB EMIRATES,RAS AL KHAIMAH,Ras AL KHAIMAH INTERNATIONAL AIRPORT,RKT,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,2 HOURS 50 MINUTES,
174,AIR ARABIA,G9,G9855,INTERNATIONAL,LHE-RKT,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,UNITED ARAB EMIRATES,Ras Al Khaimah,Ras Al Khaimah International Airport,RKT,3 HOURS ,
175,AIR ARABIA,G9,G9854,INTERNATIONAL,RKT-LHE,UNITED ARAB EMIRATES,RAS AL KHAIMAH,Ras AL KHAIMAH INTERNATIONAL AIRPORT,RKT,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,3 HOURS ,
176,AIR ARABIA,G9,3L336,INTERNATIONAL,MUX-AUH,PAKISTAN,MULTAN,Multan International Airport,MUX,UNITED ARAB EMIRATES,ABU DHABI,ZAYED INTERNATIONAL AIRPORT,AUH,3 HOURS ,
177,AIR ARABIA,G9,3L335,INTERNATIONAL,AUH-MUX,UNITED ARAB EMIRATES,ABU DHABI,ZAYED INTERNATIONAL AIRPORT,AUH,PAKISTAN,MULTAN,Multan International Airport,MUX,3 HOURS ,
178,AIR ARABIA,G9,3L312,INTERNATIONAL,SKT-AUH,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,UNITED ARAB EMIRATES,ABU DHABI,ZAYED INTERNATIONAL AIRPORT,AUH,3 HOURS 30 MINUTES,
179,AIR ARABIA,G9,3L311,INTERNATIONAL,AUH-SKT,UNITED ARAB EMIRATES,ABU DHABI,ZAYED INTERNATIONAL AIRPORT,AUH,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,3 HOURS 25 MINUTES,
180,AIR ARABIA,G9,3L316,INTERNATIONAL,LYP-AUH,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP,UNITED ARAB EMIRATES,ABU DHABI,ZAYED INTERNATIONAL AIRPORT,AUH,3 HOURS 15 MINUTES,
181,AIR ARABIA,G9,3L315,INTERNATIONAL,AUH-LYP,UNITED ARAB EMIRATES,ABU DHABI,ZAYED INTERNATIONAL AIRPORT,AUH,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP,3 HOURS 10 MINUTES,
182,AIR ARABIA,G9,G9563,INTERNATIONAL,LYP-SHJ,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,3 HOURS,
183,AIR ARABIA,G9,GP562,INTERNATIONAL,SHJ-LYP,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP,3 HOURS,
184,FLYJINNAH,9P,9P744,INTERNATIONAL,ISB-SHJ,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,3 HOURS 15 MINUTES,
185,FLYJINNAH,9P,9P740,INTERNATIONAL,ISB-SHJ,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,3 HOURS 15 MINUTES,
186,FLYJINNAH,9P,9P745,INTERNATIONAL,SHJ-ISB,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,3 HOURS 5 MINUTES,
187,FLYJINNAH,9P,9P741,INTERNATIONAL,SHJ-ISB,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,3 HOURS 5 MINUTES,
188,FLYJINNAH,9P,9P500,INTERNATIONAL,LHE-SHJ,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,3 HOURS 15 MINUTES,
189,FLYJINNAH,9P,9P502,INTERNATIONAL,LHE-SHJ,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,3 HOURS 15 MINUTES,
190,FLYJINNAH,9P,9P501,INTERNATIONAL,SHJ-LHE,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,3 HOURS,
191,FLYJINNAH,9P,9P503,INTERNATIONAL,SHJ-LHE,UNITED ARAB EMIRATES,SHARJAH,SHARJAH INTERNATIONAL AIRPORT,SHJ,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,3 HOURS,
192,FLYJINNAH,9P,9P514,INTERNATIONAL,LHE-DXB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 25 MINUTES,
193,FLYJINNAH,9P,9P512,INTERNATIONAL,LHE-DXB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 25 MINUTES,
194,FLYJINNAH,9P,9P515,INTERNATIONAL,DXB-LHE,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,3 HOURS 10 MINUTES,
195,FLYJINNAH,9P,9P513,INTERNATIONAL,DXB-LHE,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,3 HOURS 10 MINUTES,
196,FLYJINNAH,9P,9P700,INTERNATIONAL,ISB-JED,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,5 HOURS 25 MINUTES,
197,FLYJINNAH,9P,9P701,INTERNATIONAL,JED-ISB,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,5 HOURS,
198,FLYJINNAH,9P,9P780,INTERNATIONAL,ISB-RUH,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,SAUDI ARABIA,RIYADH,KING KHALID INTERNATIONAL AIRPORT,RUH,4 HOURS 20 MINUTES,
199,FLYJINNAH,9P,9P781,INTERNATIONAL,RUH-ISB,SAUDI ARABIA,RIYADH,KING KHALID INTERNATIONAL AIRPORT,RUH,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,4 HOURS 15 MINUTES,
200,FLYJINNAH,9P,9P710,INTERNATIONAL,ISB-DMM,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,SAUDI ARABIA,DAMMAM,KING FAHAD INTERNATIONAL AIRPORT,DMM,3 HOURS 55 MINUTES,
201,FLYJINNAH,9P,9P711,INTERNATIONAL,DMM-ISB,SAUDI ARABIA,DAMMAM,KING FAHAD INTERNATIONAL AIRPORT,DMM,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,3 HOURS 30 MINUTES,
