SERIAL NO,AIRLINE ,AIRLINE IATA CODE,FLIGHT NO,FLIGHT TYPE,ROUTE,DEPARTURE COUNTRY,DEPARTURE CITY,DEPARTURE AIRPORT,DEPARTURE IATA CODE,ARRIVAL COUNTRY,ARRIVAL CITY,ARRIVAL AIRPORT,ARRIVAL IATA CODE,FLIGHT DURATION,
483,AIR SIAL,PF,PF-721,INTERNATIONAL,JED-SKT,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,4 HOURS 50 MINUTES,
484,AIR SIAL,PF,PF-760,INTERNATIONAL,SKT-MED,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,SAUDI ARABIA,MEDINAH,PRINCE MUHAMMAD BIN ABDULAZIZ INTERNATIONAL AIRPORT,MED,4 HOURS 55 MINUTES,
485,AIR SIAL,PF,PF-761,INTERNATIONAL,MED-SKT,SAUDI ARABIA,MEDINAH,PRINCE MUHAMMAD BIN ABDULAZIZ INTERNATIONAL AIRPORT,MED,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,5 HOURS,
486,AIR SIAL,PF,PF-736,INTERNATIONAL,SKT-MCT,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,OMAN,MUSCAT,MUSCAT INTERNATIONAL AIRPORT,MCT,3 HOURS 25 MINUTES,
487,AIR SIAL,PF,PF-737,INTERNATIONAL,MCT-SKT,OMAN,MUSCAT,MUSCAT INTERNATIONAL AIRPORT,MCT,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,2 HOURS 40 MINUTES,
488,AIR SIAL,PF,PF-702,INTERNATIONAL,MUX-JED,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,5 HOURS 20 MINUTES,
489,AIR SIAL,PF,PF-722,INTERNATIONAL,MUX-JED,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,5 HOURS 20 MINUTES,
490,AIR SIAL,PF,PF-703,INTERNATIONAL,JED-MUX,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,4 HOURS 40 MINUTES,
491,AIR SIAL,PF,PF-723,INTERNATIONAL,JED-MUX,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,4 HOURS 40 MINUTES,
492,AIR BLUE,PA,PA-272,INTERNATIONAL,ISB-JED ,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,6 HOURS 15 MINUTES,
493,AIR BLUE,PA,PA-271,INTERNATIONAL,JED-ISB,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,5 HOURS 10 MINUTES,
